ds;y
1-4-20;55.0725
2-4-20;55.1135
3-4-20;52.5442
4-4-20;49.0595
5-4-20;54.0332
6-4-20;54.3010
7-4-20;53.6875
08-04-2020;51.8296
09-04-2020;51.1351
10-04-2020;51.5011
11-04-2020;50.1198
12-04-2020;48.1689
13-04-2020;50.8183
14-04-2020;52.2138
15-04-2020;52.5117
16-04-2020;48.6604
17-04-2020;52.7751
18-04-2020;52.7088
19-04-2020;53.0008
20-04-2020;52.5061
21-04-2020;51.5230
22-04-2020;51.2088
23-04-2020;51.9522
24-04-2020;52.6452
25-04-2020;52.8681
26-04-2020;53.7692
27-04-2020;54.7393
28-04-2020;55.7065
29-04-2020;57.1518
30-04-2020;55.0304
01-05-2020;56.2066
02-05-2020;55.8347
03-05-2020;55.41
04-05-2020;59.2947
05-05-2020;59.2799
06-05-2020;57.9978
07-05-2020;60.0219
08-05-2020;58.9277
09-05-2020;58.7786
10-05-2020;59.6874
11-05-2020;61.873
12-05-2020;60.9424
13-05-2020;60.29
14-05-2020;60.8395
15-05-2020;60.4529
16-05-2020;60.8802
17-05-2020;61.3246
18-05-2020;62.4985
19-05-2020;62.4622
20-05-2020;61.8206
21-05-2020;61.8224
22-05-2020;61.1071
23-05-2020;61.7195
24-05-2020;61.9442
25-05-2020;63.1579
26-05-2020;65.683
27-05-2020;66.6627
28-05-2020;66.2551
29-05-2020;66.5022
30-05-2020;65.198
31-05-2020;65.0883
01-06-2020;67.7726
02-06-2020;71.5254
03-06-2020;70.6161
04-06-2020;70.7078
05-06-2020;70.0373
06-06-2020;68.9914
07-06-2020;69.2999
08-06-2020;71.386
09-06-2020;71.5653
10-06-2020;70.6629
11-06-2020;70.7154
12-06-2020;70.4328
13-06-2020;69.7821
14-06-2020;69.7992
15-06-2020;73.1964
16-06-2020;76.8239
17-06-2020;77.2065
18-06-2020;77.4699
19-06-2020;77.525
20-06-2020;77.2562
21-06-2020;77.6013
22-06-2020;79.1466
23-06-2020;79.4902
24-06-2020;78.0179
25-06-2020;78.1141
26-06-2020;78.1294
27-06-2020;77.6266
28-06-2020;79.2906
29-06-2020;80.0985
30-06-2020;79.6406
01-07-2020;78.8243
02-07-2020;78.5511
03-07-2020;77.9518
04-07-2020;75.4009
05-07-2020;77.6873
06-07-2020;80.4367
07-07-2020;80.0798
08-07-2020;79.835
09-07-2020;79.7199
10-07-2020;78.4294
11-07-2020;78.2196
12-07-2020;79.2803
13-07-2020;80.374
14-07-2020;79.8155
15-07-2020;79.9533
16-07-2020;80.9656
17-07-2020;80.7572
18-07-2020;78.7492
19-07-2020;80.0846
20-07-2020;81.5491
21-07-2020;82.7962
22-07-2020;82.1126
23-07-2020;81.8657
24-07-2020;81.632
25-07-2020;80.3076
26-07-2020;81.3243
27-07-2020;83.0205
28-07-2020;83.0747
29-07-2020;82.2671
30-07-2020;81.7248
31-07-2020;82.1465
01-08-2020;80.9903
02-08-2020;81.9353
03-08-2020;83.7514
04-08-2020;82.7311
05-08-2020;82.5975
06-08-2020;82.8104
07-08-2020;81.9913
08-08-2020;81.5583
09-08-2020;81.2815
10-08-2020;82.4267
11-08-2020;83.3913
12-08-2020;82.9683
13-08-2020;83.5427
14-08-2020;83.3054
15-08-2020;82.351
16-08-2020;83.5141
17-08-2020;85.6202
18-08-2020;85.3059
19-08-2020;85.2142
20-08-2020;85.0045
21-08-2020;84.4288
22-08-2020;81.7429
23-08-2020;83.3202
24-08-2020;84.58
25-08-2020;84.341
26-08-2020;83.9659
27-08-2020;83.2977
28-08-2020;83.2037
29-08-2020;81.4923
30-08-2020;82.0126
31-08-2020;83.4173
01-09-2020;84.9743
02-09-2020;85.0978
03-09-2020;84.0549
04-09-2020;83.3928
05-09-2020;83.5814
06-09-2020;84.1117
07-09-2020;85.8277
08-09-2020;85.6664
09-09-2020;85.8692
10-09-2020;85.6999
11-09-2020;85.3168
12-09-2020;84.7534
13-09-2020;85.8376
14-09-2020;86.543
15-09-2020;86.7553
16-09-2020;86.0293
17-09-2020;86.2914
18-09-2020;87.0318
19-09-2020;85.31
20-09-2020;84.8737
21-09-2020;87.1146
22-09-2020;84.9103
23-09-2020;86.1608
24-09-2020;85.0287
25-09-2020;85.3351
26-09-2020;82.9787
27-09-2020;84.1639
28-09-2020;85.4795
29-09-2020;86.6981
30-09-2020;85.7432
01-10-2020;85.2391
02-10-2020;85.1598
03-10-2020;83.744
04-10-2020;84.3142
05-10-2020;86.6161
06-10-2020;86.1199
07-10-2020;86.2513
08-10-2020;86.0468
09-10-2020;85.127
10-10-2020;85.2984
11-10-2020;84.2533
12-10-2020;85.6465
13-10-2020;85.8316
14-10-2020;85.4207
15-10-2020;84.6647
16-10-2020;83.3888
17-10-2020;82.7107
18-10-2020;84.558
19-10-2020;85.0378
20-10-2020;85.1386
21-10-2020;85.5489
22-10-2020;85.9933
23-10-2020;84.3094
24-10-2020;82.703
25-10-2020;83.4706
26-10-2020;85.4511
27-10-2020;85.0899
28-10-2020;84.5142
29-10-2020;83.4662
30-10-2020;83.0626
31-10-2020;82.1927
01-11-2020;82.8305
02-11-2020;84.6741
03-11-2020;84.2736
04-11-2020;83.8819
05-11-2020;83.4939
06-11-2020;83.2142
07-11-2020;81.5448
08-11-2020;81.9582
09-11-2020;84.2859
10-11-2020;83.8252
11-11-2020;82.8895
12-11-2020;82.2068
13-11-2020;81.9144
14-11-2020;81.1271
15-11-2020;82.1752
16-11-2020;78.6704
17-11-2020;79.2593
18-11-2020;79.8637
19-11-2020;79.5649
20-11-2020;79.0204
21-11-2020;77.8953
22-11-2020;78.0862
23-11-2020;78.6766
24-11-2020;79.052
25-11-2020;79.4324
26-11-2020;79.2253
27-11-2020;80.5246
28-11-2020;76.641
29-11-2020;79.0751
30-11-2020;79.9459
01-12-2020;80.92
02-12-2020;81.3012
03-12-2020;80.9796
04-12-2020;80.3897
05-12-2020;81.784
06-12-2020;81.3781
07-12-2020;81.4165
08-12-2020;82.1738
09-12-2020;83.3048
10-12-2020;83.7788
11-12-2020;82.6601
12-12-2020;81.8192
13-12-2020;81.0692
14-12-2020;84.3562
15-12-2020;84.159
16-12-2020;84.3617
17-12-2020;84.2782
18-12-2020;82.7825
19-12-2020;82.0145
20-12-2020;81.9972
21-12-2020;82.859
22-12-2020;82.2512
23-12-2020;81.1184
24-12-2020;79.6272
25-12-2020;75.5136
26-12-2020;76.1587
27-12-2020;77.6186
28-12-2020;78.6337
29-12-2020;81.0683
30-12-2020;81.8763
31-12-2020;82.0981
01-01-2021;81.0677
02-1-2021;81.8172
03-1-2021;82.6462
04-1-2021;83.0743
05-1-2021;83.5122
06-1-2021;82.7612
07-1-2021;84.0919
08-1-2021;83.5718
09-1-2021;83.3082
10-1-2021;83.0284
11-1-2021;84.1827
12-1-2021;84.0647
13-1-2021;84.5857
14-1-2021;83.7311
15-1-2021;83.3262
16-1-2021;81.6178
17-1-2021;81.3931
18-1-21;82.9135
19-1-2021;82.1497
20-1-2021;83.5368
21-1-2021;83.3405
22-1-2021;83.6566
23-1-2021;82.7249
24-1-2021;83.0916
25-1-2021;84.3101
26-1-2021;84.3593
27-1-2021;84.9403
28-1-2021;84.6071
29-1-2021;84.5483
30-1-2021;83.5905
31-1-2021;84.172
01-02-2021;84.0701
02-02-2021;83.8345
03-02-2021;83.8277
04-02-2021;83.4485
05-02-2021;83.1752
06-02-2021;82.5467
07-02-2021;82.516
08-02-2021;83.3279
09-02-2021;83.6609
10-02-2021;82.5224
11-02-2021;82.9833
12-02-2021;81.6055
13-02-2021;82.0098
14-02-2021;81.4775
15-02-2021;82.9868
16-02-2021;83.0172
17-02-2021;83.3045
18-02-2021;83.9311
19-02-2021;83.3805
20-02-2021;83.1241
21-02-2021;83.655
22-02-2021;84.3879
23-02-2021;84.3557
24-02-2021;84.0528
25-02-2021;83.2127
26-02-2021;83.0262
27-02-2021;80.939
28-02-2021;81.7896
01-03-2021;82.991
02-03-2021;82.314
03-03-2021;82.3268
04-03-2021;82.9252
05-03-2021;81.8361
06-03-2021;80.5355
07-03-2021;81.1659
08-03-2021;82.5996
09-03-2021;82.6858
10-03-2021;81.3641
11-03-2021;81.4202
12-03-2021;81.6011
13-03-2021;80.6427
14-03-2021;81.0113
15-03-2021;83.3714
16-03-2021;82.561
17-03-2021;82.6777
18-03-2021;82.2633
19-03-2021;82.0441
20-03-2021;80.4854
21-03-2021;81.4803
22-03-2021;83.756
23-03-2021;83.4163
24-03-2021;84.266
25-03-2021;84.0589
26-03-2021;83.346
27-03-2021;81.6831
28-03-2021;82.2174
29-03-2021;84.0693
30-03-2021;84.0764
31-03-2021;84.5979
01-04-2021;84.3201
02-04-2021;80.6064
03-04-2021;80.1123
04-04-2021;80.8798
05-04-2021;82.5637
06-04-2021;84.6038
07-04-2021;85.1554
08-04-2021;85.4565
09-04-2021;84.7304
10-04-2021;82.9974
11-04-2021;83.9096
12-04-2021;85.4002
13-04-2021;85.5023
14-04-2021;84.8498
15-04-2021;84.3934
16-04-2021;83.8363
17-04-2021;82.6826
18-04-2021;82.4992
19-04-2021;84.6821
20-04-2021;85.2585
21-04-2021;85.2046
22-04-2021;84.8341
23-04-2021;83.8779
24-04-2021;82.5097
25-04-2021;81.9718
26-04-2021;84.8837
27-04-2021;84.7376
28-04-2021;85.0799
29-04-2021;84.8693
30-04-2021;84.5247
01-05-2021;83.1578
02-05-2021;82.2713
03-05-2021;82.7464
04-05-2021;84.8796
05-05-2021;85.3466
06-05-2021;85.0598
07-05-2021;85.1642
8-05-21;83.5332
09-05-2021;82.8055
10-05-2021;85.2267
11-05-2021;85.4617
12-05-2021;86.0294
13-05-2021;85.6853
14-05-2021;86.3122
15-05-2021;84.8459
16-05-2021;85.098
17-05-2021;85.9877
18-05-2021;86.4155
19-05-2021;86.3583
20-05-2021;86.4623
21-05-2021;85.7706
22-05-2021;83.9679
23-05-2021;83.2583
24-05-2021;86.107
25-05-2021;85.725
26-05-2021;86.0251
27-05-2021;85.6163
28-05-2021;84.9593
29-05-2021;82.2986
30-05-2021;82.8308
31-05-2021;83.4532
01-06-2021;85.9921
02-06-2021;86.3607
03-06-2021;86.4862
04-06-2021;86.2789
05-06-2021;83.8029
06-06-2021;83.9563
07-06-2021;86.5539
08-06-2021;86.388
09-06-2021;85.6729
10-06-2021;86.3226
11-06-2021;86.2903
12-06-2021;84.375
13-06-2021;84.4569
14-06-2021;86.8684
15-06-2021;86.4706
16-06-2021;86.3053
17-06-2021;86.18
18-06-2021;85.5665
19-06-2021;83.8499
20-06-2021;83.6717
21-06-2021;85.7082
22-06-2021;86.2863
23-06-2021;86.3115
24-06-2021;86.5568
25-06-2021;85.8506
26-06-2021;84.6352
27-06-2021;84.933
28-06-2021;85.9696
29-06-2021;86.6269
30-06-2021;86.2804
01-07-2021;86.12
02-07-2021;86.7636
03-07-2021;84.2969
04-07-2021;85.213
05-07-2021;86.9151
06-07-2021;87.0013
07-07-2021;87.0148
08-07-2021;86.7039
09-07-2021;87.0317
10-07-2021;85.0881
11-07-2021;85.6376
12-07-2021;86.6038
13-07-2021;86.9058
14-07-2021;87.0077
15-07-2021;86.7627
16-07-2021;86.6452
17-07-2021;83.7339
18-07-2021;82.3435
19-07-2021;86.6395
20-07-2021;85.7801
21-07-2021;86.1052
22-07-2021;86.1099
23-07-2021;86.073
24-07-2021;85.0209
25-07-2021;85.5609
26-07-2021;86.8007
27-07-2021;86.5962
28-07-2021;86.296
29-07-2021;86.2637
30-07-2021;86.4493
31-07-2021;85.4122
01-08-2021;85.4322
02-08-2021;87.0999
03-08-2021;87.2315
04-08-2021;86.9672
05-08-2021;86.7649
